cityname,lat,lng
california/solano/rio-vista-ys/,38.167275,-121.6884167
california/sonoma/sebastopol-103-morris-street/,38.403765,-122.818294
california/san-diego/otay-mesa-donovan-correctional-facility/,32.57944,-116.92944
california/inyo/keeler-cerro-gordo-road/,36.48785,-117.87104
california/placer/tahoe-city-221-fairway-drive/,39.16602,-120.14883
california/placer/auburn-atwood-rd/,38.93568,-121.09959
california/solano/rio-vista-st-francis-way/,38.167275,-121.6884167
california/san-luis-obispo/atascadero-lift-station--5/,35.49453,-120.66617
california/santa-clara/san-jose-knox-avenue/,37.338202,-121.849892
california/tehama/red-bluff-walnut-st/,40.17088,-122.25556
california/inyo/bishop-line/,37.366389,-118.35
california/san-luis-obispo/atascadero-lift-station--5/,35.49453,-120.66617
california/alameda/berkeley-aquatic-park/,37.864731,-122.302703
california/sonoma/sebastopol/,38.40377,-122.81829
california/placer/lincoln-1445-1st-st./,38.88559,-121.30199
newyork/,40.7127837,-74.0059413
buffalo/,42.8864468,-78.8783689
usa/newyork/,40.7143528,-74.0059731
usa/newyork/is-52/,40.816101,-73.902199
usa/newyork/white-plains/,41.0522,-73.7642
usa/newyork/suffolk-county/,40.9848784,-72.6151169
usa/newyork/queens-college/,,
usa/newyork/ccny/,40.8197,-73.9481
usa/newyork/is-74/,-73.886703,40.814701
usa/newyork/ps-314/,40.641819,-74.018707
usa/newyork/maspeth/,40.7269,-73.8933
usa/newyork/eisenhower-park/,-73.5869,40.7447
usa/newyork/is-143/,40.8492,-73.9319
usa/newyork/division-street/,-73.995,40.7142
usa/newyork/ps-274/,40.694401,-73.928596
usa/newyork/fresh-kills-west/,40.5802,-74.1994
usa/newyork/albany-county-hd/,42.6425,-73.7547
usa/newyork/utica/,-75.225,43.0994
usa/newyork/buffalo/,42.8781,-78.8094
usa/newyork/rochester/,-77.5481,43.1461
usa/newyork/newburgh/,41.4994,-74.0097
usa/newyork/pinnacle/,42.0972,-77.2103
usa/newyork/rockland-county/,41.182079,-74.028191
usa/newyork/ps-19/,40.73,-73.984459
usa/newyork/peace-bridge-busti-ave/,42.8985717,-78.8928852
usa/newyork/tonawanda-ii/,-78.8993,42.9981
usa/newyork/port-richmond/,40.6354914,-74.1254641
usa/newyork/morrisania/,40.83606,-73.92009
usa/new-york/holtsville/,40.8278,-73.0575
usa/mexico/colegio-de-bachilleres/,,
usa/mexico/universidad-autonoma-de-baja-california/,,
usa/mexico/cuajimalpa/,,
usa/mexico/chalco/,,
usa/arizona/douglas-red-cross/,31.3492,-109.539683
usa/arizona/nogales-post-office/,31.337204,-110.936722
usa/arizona/alamo-lake/,34.243889,-113.558611
usa/arizona/childrens-park-site/,32.2953,-110.9822
usa/arizona/phoenix-jlg-supersite/,33.503601,-112.095001
usa/arizona/yuma-supersite/,32.690277,-114.614441
usa/alabama/wylam/,-86.9242,33.4997
usa/alabama/corner/,33.8017,-86.9425
usa/alabama/no.-bham/,33.5531,-86.815
usa/alabama/mcadory/,33.3311,-87.0036
usa/indiana/anderson-eastside-elem.-sch/,40.125557,-85.652222
usa/indiana/evansville-buena-vista/,38.0133,-87.5772
usa/indiana/indpls-i-70-e/,39.787933,-86.13088
usa/indiana/indpls-washington-park/,39.8108,-86.1147
usa/indiana/bloomington/,39.159372,-86.504747
usa/indiana/gary-iitri/,41.6067,-87.3047
usa/indiana/indpls-w.18th-st/,-86.2147,39.7889
usa/kentucky/fivco/,38.4592,-82.6339
usa/kentucky/jprecc/,37.0581,-88.5725
usa/kentucky/newtwn/,-84.5,38.065
usa/minnesota/lakeville-near-road/,44.706123,-93.285803
usa/minnesota/brainerd/,46.3944,-94.1433
usa/minnesota/west-duluth/,46.743889,-92.166946
usa/minnesota/minneapolis-near-road/,44.9653,-93.2551
usa/minnesota/minneapolis-lyndale/,44.946341,-93.277353
usa/minnesota/virginia/,47.5212,-92.5393
usa/minnesota/detroit-lakes/,-95.8467,46.8511
usa/minnesota/grand-portage/,47.9721,-89.6908
usa/minnesota/st.-michael/,45.2108,-93.6686
usa/minnesota/st.-cloud/,45.55,-94.1333
usa/minnesota/rochester/,43.9947,-92.4497
usa/minnesota/minneapolis-phillips/,44.9536,-93.2581
usa/minnesota/ely/,47.9464,-91.4953
usa/minnesota/blaine/,-93.2139,45.1425
usa/minnesota/st.-paul-harding-h.s./,44.9594,-93.0356
usa/missouri/broadway-south/,38.5425,-90.263611
usa/missouri/blair-street/,38.656449,-90.198548
usa/missouri/ladue/,38.650259,-90.350463
usa/missouri/blue-ridge-i-70/,39.047911,-94.450513
usa/missouri/forest-park/,-90.281144,38.631057
usa/missouri/arnold/,38.448581,-90.398436
usa/missouri/liberty/,39.303056,-94.376389
usa/missouri/missouri-state-university/,37.199541,-93.284874
usa/missouri/eldospgs/,-94.03474,37.70097
usa/missouri/troost/,39.104722,-94.570556
usa/missouri/branch-street/,38.65643,-90.18977
usa/missouri/st.-joseph/,-94.858333,39.741667
usa/missouri/rg_south/,38.75976,-94.57997
usa/north-carolina/garinger/,-80.7831,35.2411
usa/north-dakota/beulah-north/,47.2986,-101.7669
usa/nebraska/ncore/,41.2474,-95.9731
usa/nebraska/llchd-bam/,40.8125,-96.683098
usa/oklahoma/moore/,35.32,-97.4883
usa/oklahoma/glenpool/,35.9525,-96.0033
usa/oklahoma/mcalester/,34.906082,-95.794128
usa/oklahoma/burneyville/,33.8825,-97.275803
usa/oklahoma/seiling/,36.1589,-98.9353
usa/oklahoma/lawton-north/,34.632999,-98.428802
usa/oklahoma/tulsa/,36.206699,-95.976402
usa/tennessee/riverside/,35.0508,-85.2931
usa/vermont/burlington/,44.476101,-73.210297
usa/vermont/bennington/,42.887501,-73.249702
usa/vermont/rutland/,-72.98246,43.608528
usa/vermont/underhill/,44.528389,-72.868973
usa/west-virginia/moundsville/,39.9158,-80.7342
usa/alabama/hoover/,-86.8167,33.3864
usa/alabama/montg/,32.4069,-86.2564
usa/arkansas/adeq-dsr/,34.6811,-92.3283
usa/arkansas/sprngdle/,-94.1167,36.1797
usa/arkansas/marion/,35.1967,-90.1911
usa/arkansas/parr/,34.7561,-92.2758
usa/arkansas/el-dorado/,33.215,-92.6689
usa/delaware/killens/,38.9847,-75.5556
usa/delaware/seaford/,38.6444,-75.6131
usa/illinois/chi_com/,41.7547,-87.7136
usa/illinois/bondville/,40.052241,-88.372549
usa/illinois/peoria_j/,40.6978,-89.5889
usa/illinois/gc_mad/,-90.1397,38.7045
usa/illinois/chi_sp/,41.9136,-87.7239
usa/illinois/east-st.-louis/,38.611893,-90.160614
usa/illinois/west-union/,39.210883,-87.668416
usa/illinois/braidwd/,-88.1906,41.2222
usa/illinois/decatur/,-88.9256,39.8669
usa/illinois/alsip/,41.6708,-87.7325
usa/illinois/cary/,42.2211,-88.2411
usa/illinois/northbrk/,-87.7994,42.1406
usa/indiana/new-albany/,38.3081,-85.8342
usa/kansas/cedrbluf/,38.7703,-99.7636
usa/kansas/whlthdpt/,37.7011,-97.3139
usa/kansas/wy/kc/,39.1175,-94.6356
usa/kansas/heritage-park/,38.8386,-94.7464
usa/kentucky/haz2/,-83.2203,37.2831
usa/kentucky/cannons-lane/,38.2286,-85.6544
usa/kentucky/watson/,-85.8961,38.0608
usa/kentucky/mammoth-cave-np/,37.1314,-86.1481
usa/kentucky/baskett/,37.8714,-87.4633
usa/kentucky/etown2/,37.7064,-85.8517
usa/kentucky/owenpri/,37.7808,-87.0756
usa/kentucky/southwick-community-center/,38.2317,-85.8156
usa/kentucky/nku/,39.0217,-84.4744
usa/maryland/fair-hill/,39.701099,-75.860001
usa/maryland/oldtown/,39.2981,-76.604698
usa/maryland/rockville/,39.114399,-77.106903
usa/maryland/horn-point/,38.5876,-76.1408
usa/maryland/piney-run/,39.705799,-79.011902
usa/maryland/hu-beltsville/,39.055302,-76.878304
usa/maryland/millington/,39.305199,-75.797203
usa/maryland/padonia/,39.462002,-76.631599
usa/maryland/edgewood/,39.41,-76.2967
usa/mississippi/hernando/,34.8275,-89.9889
usa/mississippi/jaxfs19/,32.3883,-90.1406
usa/mississippi/hattiesburg/,31.322779,-89.287498
usa/mississippi/jackson-ncore/,32.329111,-90.182722
usa/north-carolina/durham-armory/,35.9919,-78.8964
usa/north-carolina/dillard/,35.3692,-77.9939
usa/north-carolina/cherrygr/,36.3028,-79.4667
usa/north-carolina/clemmons-middle/,36.0261,-80.3419
usa/north-carolina/grier-middle-school/,35.253101,-81.153297
usa/north-carolina/montclaire/,35.1514,-80.8669
usa/north-carolina/bded/,35.6075,-82.5833
usa/north-carolina/hattieaven/,36.1106,-80.2267
usa/north-carolina/w-owen-sch/,35.041401,-78.953102
usa/north-dakota/williston/,48.152822,-103.639583
usa/north-dakota/hannover/,47.1858,-101.4281
usa/north-dakota/lostwood-nwr/,48.641899,-102.402199
usa/north-dakota/bismarck-residential/,-100.7681,46.8253
usa/north-dakota/fargo-nw/,46.933601,-96.854698
usa/new-hampshire/miller-state-park/,42.8619,-71.8789
usa/new-hampshire/keene/,42.930599,-72.277802
usa/new-hampshire/portsmouth/,-70.748014,43.075367
usa/new-hampshire/londonderry-moose-hill/,-71.380173,42.862537
usa/ohio/erie/,-83.54625,41.644067
usa/ohio/preble-county/,39.83562,-84.72049
usa/ohio/painesville-jfs/,41.726811,-81.242156
usa/ohio/sycamore/,39.2787,-84.36612
usa/ohio/colerain/,39.21494,-84.69086
usa/ohio/taft/,-84.50404,39.12886
usa/ohio/barr-school/,41.463071,-82.114261
usa/ohio/columbus-fairgrounds/,40.002734,-82.994404
usa/ohio/canton/,40.800797,-81.372853
usa/ohio/lebanon/,39.42689,-84.20077
usa/ohio/batavia/,-84.1441,39.0828
usa/ohio/youngstown-head-start/,41.095938,-80.658467
usa/ohio/g.t.craig/,41.492191,-81.678552
usa/ohio/dayton-sinclair/,39.758235,-84.197375
usa/ohio/steubenville/,40.366452,-80.615691
usa/ohio/east-high-school/,41.063526,-81.468956
usa/ohio/yankee-road/,39.472436,-84.394952
usa/ohio/amanda--elementary/,-84.407675,39.478849
usa/ohio/chippewa-lake/,41.0604,-81.9239
usa/ohio/yellow-springs/,-83.88711,39.80834
usa/ohio/springfield-pm/,39.92882,-83.80949
usa/ohio/lima/,40.771,-84.0539
usa/ohio/warren-laird-ave./,41.231167,-80.801914
usa/ohio/ironton-odot/,38.508114,-82.659301
usa/oklahoma/roland/,35.408138,-94.524414
usa/oklahoma/miami/,36.9222,-94.8389
usa/oklahoma/north-okc/,35.612801,-97.472198
usa/oklahoma/stilwell-castnet---ncore/,-94.669701,35.750599
usa/rhode-island/narragansett/,41.4942,-71.4219
usa/rhode-island/e-providence/,41.840302,-71.361702
usa/rhode-island/providence/,41.8081,-71.415
usa/south-carolina/greenville-esc/,34.843899,-82.414597
usa/south-carolina/long-creek/,34.805,-83.237503
usa/south-carolina/chesterfield/,34.615299,-80.198898
usa/south-carolina/tk-gregg/,34.955601,-81.924797
usa/south-carolina/trenton/,33.7397,-81.8536
usa/south-carolina/williams-middle-school/,34.2143,-79.7673
usa/south-carolina/ashton/,-80.964996,33.007801
usa/south-carolina/charleston-public-works/,32.791,-79.959
usa/south-dakota/wind-cave/,43.557613,-103.483658
usa/south-dakota/research-farm/,44.348604,-96.807299
usa/south-dakota/credit-union/,44.087397,-103.273777
usa/south-dakota/uc1/,42.751518,-96.707208
usa/south-dakota/badlands/,43.746944,-101.941109
usa/south-dakota/watertown/,44.89965,-97.128802
usa/tennessee/dyerteom/,36.0528,-89.3819
usa/tennessee/air-lab/,35.9803,-83.9306
usa/tennessee/athens/,35.4511,-84.5992
usa/tennessee/lockland/,36.1767,-86.7386
usa/tennessee/jackson/,35.6567,-88.8092
usa/tennessee/lawrence/,35.1158,-87.47
usa/tennessee/shelby-farms/,35.151588,-89.85022
usa/tennessee/hville/,36.2975,-86.6525
usa/alabama/decatur/,-86.9706,34.5286
usa/delaware/mlk/,39.7394,-75.5581
usa/indiana/elkhart-prairie-st./,41.656944,-85.96833
usa/indiana/ogden-dunes/,41.6175,-87.1992
usa/indiana/fort-wayne-beacon-st/,41.094965,-85.101816
usa/indiana/terre-haute-lafayette-ave/,39.4861,-87.4014
usa/indiana/kokomo-e.-vaile-ave./,40.481349,-86.109718
usa/indiana/larwill/,41.169722,-85.629444
usa/indiana/lafayette-greenbush-st/,40.4316,-86.8525
usa/indiana/south-bend-shields-dr/,41.6967,-86.2147
usa/indiana/fishers/,-85.939546,39.960884
usa/indiana/columbus-rocky-ford-rd/,39.237457,-85.891332
usa/maryland/hagerstown/,39.565601,-77.721901
usa/mississippi/gport-yc/,30.39,-89.0497
usa/montana/butte-greely-school/,46.002399,-112.500893
usa/montana/billings-st.-lukes/,45.782181,-108.511528
usa/montana/sidney-oil-field/,47.803421,-104.485619
usa/montana/malta/,48.317507,-107.862471
usa/montana/seeley-elementary-school/,-113.476182,47.17563
usa/montana/missoula-boyd-park/,46.842297,-114.020549
usa/montana/hamilton-ps-46/,46.243621,-114.158889
usa/montana/birney/,45.366151,-106.48982
usa/montana/rossiter-pump-house/,46.6588,-112.0131
usa/montana/libby-courthouse/,48.3841,-115.548
usa/montana/bozeman-high-school/,45.683765,-111.056282
usa/montana/lewistown/,47.048537,-109.455315
usa/montana/west-yellowstone-park-ent--2/,44.657014,-111.089618
usa/montana/broadus/,-105.37028,45.440295
usa/north-carolina/leggett/,35.9889,-77.5867
usa/north-carolina/kenansvl/,34.9547,-77.9608
usa/north-carolina/candor-fro/,-79.8635,35.2632
usa/north-carolina/jamesvil/,35.8111,-76.9067
usa/north-dakota/dunn-center/,-102.526398,47.320301
usa/rhode-island/w-greenwich/,41.615,-71.7197
usa/tennessee/look-rock-gsmnp/,35.6322,-83.9422
usa/tennessee/golf_ln/,36.5144,-87.3278
usa/tennessee/kingsport/,36.5408,-82.5217
usa/tennessee/maryvill/,35.7683,-83.9422
usa/wyoming/south-pass/,42.5275,-108.7203
usa/wyoming/converse-county-mobile/,42.766972,-105.303528
usa/wyoming/cheyenne-/,41.18222,-104.778336
usa/wyoming/sinclair-mobile/,41.783389,-107.119184
usa/wyoming/pinedale/,-109.788,42.9288
usa/north-carolina/bryson/,35.4356,-83.4436
usa/alabama/ward/,32.36253,-88.27792
usa/montana/french-town-beckwith/,47.012907,-114.224273
usa/north-carolina/castle-h/,34.3561,-77.8617
usa/new-hampshire/lebanon/,43.627399,-72.310204
usa/south-carolina/cape-romain/,32.941002,-79.656998
usa/kentucky/smiths-grove/,37.04926,-86.21487
usa/north-carolina/marion/,35.6875,-81.9936
usa/maryland/howard-county-near-road/,39.143197,-76.846192
usa/north-carolina/burdens-creek/,-78.8747,35.889402
usa/north-carolina/millbrook-ncore/,35.856098,-78.574203
usa/oklahoma/ponca-city/,36.697189,-97.081278
usa/south-carolina/irmo/,34.051102,-81.154999
usa/north-carolina/mendnhal/,36.1092,-79.8011
usa/kentucky/near-road/,38.1935,-85.7121
usa/north-carolina/blackstone/,35.4325,-79.2887
usa/ohio/new-albany/,40.0845,-82.81552
usa/alabama/phnx-cty-pm/,32.474239,-85.000038
usa/rhode-island/near-road/,41.829495,-71.417457
usa/montana/ncore/,46.8505,-111.987164
usa/illinois/cicero2/,41.864329,-87.748826
usa/alabama/huntsville-old-airport/,-86.591698,34.6917
usa/tennessee/harriman/,35.9386,-84.5439
usa/minnesota/red-lake/,47.878159,-95.029172
usa/kentucky/pike2001/,37.4828,-82.5353
usa/alabama/chick./,30.7697,-88.0875
usa/illinois/maryvill/,38.7267,-89.959198
usa/kentucky/bates/,38.1372,-85.5783
usa/minnesota/red-lake-nation/,47.878159,-95.029172
usa/minnesota/fond-du-lac/,46.713694,-92.511722
usa/missouri/hillcrest-hs/,-93.299692,37.256069
usa/mississippi/hinds-cc/,32.346905,-90.225928
usa/nebraska/2912-coffey/,41.133317,-95.956078
usa/ohio/london/,39.78819,-83.47606
usa/ohio/springfield/,40.00103,-83.80456
usa/oklahoma/mobile-kickapoo/,35.4884,-97.090278
usa/south-carolina/jackson/,33.342201,-81.788597
usa/minnesota/st.-paul-payne-phalen/,-93.082984,44.971539
usa/north-carolina/pittagct/,35.638599,-77.358002
usa/alabama/gadsden/,33.991341,-85.992653
usa/north-carolina/johnston/,35.5,-78.4375
usa/minnesota/duluth-michigan-st/,46.77107,-92.11732
usa/south-dakota/pierre/,44.373786,-100.287269
usa/ohio/west-union/,38.79471,-83.533988
usa/alabama/shuttlesworth/,33.565278,-86.796389
usa/minnesota/st.-anthony-park/,44.973096,-93.199879
usa/oklahoma/healdton/,34.256901,-97.474197
usa/north-carolina/hickory/,35.73,-81.37
usa/wyoming/fort-laramie-national-historic-site/,42.209167,-104.548611
usa/north-carolina/lwattowr/,35.8142,-80.2633
usa/north-dakota/trnp-nu/,47.6011,-103.2642
usa/wyoming/pinedale-gaseous/,42.8698,-109.8708
usa/wyoming/cheyenne-mobile/,41.13,-104.75
usa/wyoming/torrington-mobile/,42.06,-104.17
usa/oklahoma/copan/,36.908115,-95.88235
usa/oregon/lakeview/,42.189215,-120.353969
usa/oregon/roseburg/,43.2266,-123.36479
usa/oregon/grants-pass/,-123.348466,42.434149
usa/oregon/cave-junction/,42.1617,-123.64835
usa/oregon/medford/,42.31411,-122.87923
usa/oregon/albany/,44.61569,-123.091457
usa/oregon/baker-city/,44.78822,-117.8446
usa/oregon/beaverton/,45.4702,-122.8159
usa/oregon/enterprise/,45.426351,-117.296066
usa/oregon/hermiston/,45.828968,-119.262991
usa/oregon/hillsboro/,45.528501,-122.972398
usa/oregon/john-day/,44.417999,-118.951302
usa/oregon/la-grande/,45.339,-118.095206
usa/oregon/lyons/,44.778743,-122.617048
usa/oregon/pendleton/,45.652231,-118.823033
usa/oregon/prineville/,44.299787,-120.844773
usa/oregon/salem/,-123.005934,44.943114
usa/oregon/shady-cove/,42.623225,-122.810158
usa/oregon/silverton/,45.014998,-122.790382
usa/oregon/sisters/,44.2921,-121.5555
usa/oregon/sweet-home/,44.3958,-122.7305
usa/oregon/bend/,44.063916,-121.312554
usa/oregon/portland/,45.496641,-122.602877
usa/oregon/burns/,43.58925,-119.048302
usa/oregon/madras/,44.6306,-121.131599
usa/oregon/carus-spangler-rd./,45.25928,-122.588151
usa/oregon/sauvie-island/,45.768531,-122.7721
usa/oregon/government-camp-multorpor-visibility/,45.28845,-121.782775
usa/oregon/mt.-fanny/,45.309556,-117.733582
usa/oregon/crater-lake-maintenance/,42.895957,-122.13593
usa/oregon/tualatin-i-5-roadway/,45.3505567,-122.793927
usa/oregon/oakridge-willamette-activity-center/,43.74436,-122.480506
usa/oregon/cottage-grove-city-shops/,43.7995,-123.0535
usa/oregon/eugene-amazon-park/,44.0263,-123.08377
usa/oregon/eugene-highway-99/,44.067223,-123.14135
usa/lane/willamette-activity-center-oakridge/,43.74436,-122.4805
usa/lane/amazon-park/,44.02627,-123.0838
usa/lane/cottage-grove-city-shops/,43.79957,-123.0535
usa/lane/highway-99/,44.06633,-123.1398
usa/lane/wilkes-drive/,44.11576,-123.1211
usa/washington/aberdeen/division-st/,46.97228,-123.83173
usa/washington/airway-heights/w-12th-ave/,47.64476,-117.58913
usa/washington/anacortes-202--avenue/,48.52059,-122.61428
usa/washington/anacortes/bartholomew-rd/,48.4654,-122.56
usa/washington/bellevue/bellevue-way/,47.61311,-122.20161
usa/washington/bellingham/yew-st/,48.76278,-122.44028
usa/washington/bremerton/spruce-ave/,47.592675,-122.62739
usa/washington/cheeka-peak/,48.29786,-124.62491
usa/washington/chehalis/market-blvd/,46.66409,-122.96732
usa/washington/clarkston/13th-st/,-117.060445,46.425416
usa/washington/colbert/greenbluff-rd/,47.8082264,-117.34327
usa/washington/colville/oak-st-s/,48.54296,-117.90326
usa/washington/custer/loomis/,48.95074,-122.55441
usa/washington/darrington/fir-st/,48.2468,-121.6031
usa/washington/dayton/w-main-st/,46.318,-117.985
usa/washington/ellensburg/ruby-st/,46.99364,-120.545
usa/washington/harrah-n-harrah-rd/,46.4085229,-120.5441734
usa/washington/kennewick/metaline/,46.21835,-119.20152
usa/washington/kent/central-and-james/,-122.23195,47.38614
usa/washington/lacey/college-st/,47.02938,-122.82161
usa/washington/lacrosse/hill-st/,46.8153,-117.8739
usa/washington/lake-forest-park/town-center/,47.75452,-122.28034
usa/washington/leavenworth/evans-st/,47.59886,-120.6647
usa/washington/longview/30th-ave/,46.139443,-122.961944
usa/washington/lynnwood/212-ult/,47.8064,-122.3167
usa/washington/marysville/7th-ave/,48.054315,-122.171529
usa/washington/mesa/pepiot-way/,46.5754,-119.0021
usa/washington/moses-lake/balsam-st/,47.1303,-119.2737
usa/washington/mt-vernon/s-second-st/,48.4102,-122.3376
usa/washington/neah-bay-2/makah-tribe/,48.366058,-124.610045
usa/washington/north-bend/north-bend-way/,-121.77278,47.49022
usa/washington/oak-harbor/sw-6th/,48.2944,-122.66
usa/washington/oakville/chehalis-tribe/,46.818292,-123.197083
usa/washington/omak/colville-tribe/,-119.51896,48.39999
usa/washington/port-angeles/w-14th-st/,48.11697,-123.46555
usa/washington/port-townsend/san-juan-ave/,48.12919,-122.77897
usa/washington/pullman/dexter-se/,46.7244,-117.18014
usa/washington/raymond/commercial/,46.68562,-123.7285563
usa/washington/ritzville/alder-st/,47.128,-118.3819
usa/washington/rosalia/josephine-st/,-117.36856,47.23136
usa/washington/seattle/beacon-hill/,47.5713,-122.3057
usa/washington/seattle/duwamish/,47.559975,-122.338265
usa/washington/seattle/olive-st/,47.6171136,-122.3044689
